spec_id,baseline_path,llm_path,provider,model,strategy
InputStream_UnmarkedReset,nl2spec\datasets\baseline_ir\io\InputStream_UnmarkedReset.json,nl2spec\output\llm\mock\mock-model\random\few_k3\io\ere\InputStream_UnmarkedReset.json,mock,mock-model,random
ObjectInput_Close,nl2spec\datasets\baseline_ir\io\ObjectInput_Close.json,nl2spec\output\llm\mock\mock-model\random\few_k3\lang\ltl\ObjectInput_Close.json,mock,mock-model,random
ObjectOutput_Close,nl2spec\datasets\baseline_ir\io\ObjectOutput_Close.json,nl2spec\output\llm\mock\mock-model\random\few_k3\net\ltl\ObjectOutput_Close.json,mock,mock-model,random
ObjectStreamClass_Initialize,nl2spec\datasets\baseline_ir\io\ObjectStreamClass_Initialize.json,nl2spec\output\llm\mock\mock-model\random\few_k3\lang\ltl\ObjectStreamClass_Initialize.json,mock,mock-model,random
OutputStream_ManipulateAfterClose,nl2spec\datasets\baseline_ir\io\OutputStream_ManipulateAfterClose.json,nl2spec\output\llm\mock\mock-model\random\few_k3\util\ere\OutputStream_ManipulateAfterClose.json,mock,mock-model,random
PipedInputStream_UnconnectedRead,nl2spec\datasets\baseline_ir\io\PipedInputStream_UnconnectedRead.json,nl2spec\output\llm\mock\mock-model\random\few_k3\net\fsm\PipedInputStream_UnconnectedRead.json,mock,mock-model,random
PipedOutputStream_UnconnectedWrite,nl2spec\datasets\baseline_ir\io\PipedOutputStream_UnconnectedWrite.json,nl2spec\output\llm\mock\mock-model\random\few_k3\net\fsm\PipedOutputStream_UnconnectedWrite.json,mock,mock-model,random
PipedStream_SingleThread,nl2spec\datasets\baseline_ir\io\PipedStream_SingleThread.json,nl2spec\output\llm\mock\mock-model\random\few_k3\io\ere\PipedStream_SingleThread.json,mock,mock-model,random
PushbackInputStream_UnreadAheadLimit,nl2spec\datasets\baseline_ir\io\PushbackInputStream_UnreadAheadLimit.json,nl2spec\output\llm\mock\mock-model\random\few_k3\lang\ere\PushbackInputStream_UnreadAheadLimit.json,mock,mock-model,random
RandomAccessFile_ManipulateAfterClose,nl2spec\datasets\baseline_ir\io\RandomAccessFile_ManipulateAfterClose.json,nl2spec\output\llm\mock\mock-model\random\few_k3\lang\ere\RandomAccessFile_ManipulateAfterClose.json,mock,mock-model,random
Reader_ManipulateAfterClose,nl2spec\datasets\baseline_ir\io\Reader_ManipulateAfterClose.json,nl2spec\output\llm\mock\mock-model\random\few_k3\io\ere\Reader_ManipulateAfterClose.json,mock,mock-model,random
Reader_MarkReset,nl2spec\datasets\baseline_ir\io\Reader_MarkReset.json,nl2spec\output\llm\mock\mock-model\random\few_k3\util\event\Reader_MarkReset.json,mock,mock-model,random
Reader_ReadAheadLimit,nl2spec\datasets\baseline_ir\io\Reader_ReadAheadLimit.json,nl2spec\output\llm\mock\mock-model\random\few_k3\lang\ere\Reader_ReadAheadLimit.json,mock,mock-model,random
Reader_UnmarkedReset,nl2spec\datasets\baseline_ir\io\Reader_UnmarkedReset.json,nl2spec\output\llm\mock\mock-model\random\few_k3\net\ere\Reader_UnmarkedReset.json,mock,mock-model,random
Serializable_NoArgConstructor,nl2spec\datasets\baseline_ir\io\Serializable_NoArgConstructor.json,nl2spec\output\llm\mock\mock-model\random\few_k3\net\event\Serializable_NoArgConstructor.json,mock,mock-model,random
Serializable_UID,nl2spec\datasets\baseline_ir\io\Serializable_UID.json,nl2spec\output\llm\mock\mock-model\random\few_k3\util\event\Serializable_UID.json,mock,mock-model,random
StreamTokenizer_AccessInvalidField,nl2spec\datasets\baseline_ir\io\StreamTokenizer_AccessInvalidField.json,nl2spec\output\llm\mock\mock-model\random\few_k3\util\fsm\StreamTokenizer_AccessInvalidField.json,mock,mock-model,random
Writer_ManipulateAfterClose,nl2spec\datasets\baseline_ir\io\Writer_ManipulateAfterClose.json,nl2spec\output\llm\mock\mock-model\random\few_k3\lang\ere\Writer_ManipulateAfterClose.json,mock,mock-model,random
Appendable_ThreadSafe,nl2spec\datasets\baseline_ir\lang\Appendable_ThreadSafe.json,nl2spec\output\llm\mock\mock-model\random\few_k3\net\ere\Appendable_ThreadSafe.json,mock,mock-model,random
Boolean_StaticFactory,nl2spec\datasets\baseline_ir\lang\Boolean_StaticFactory.json,nl2spec\output\llm\mock\mock-model\random\few_k3\io\event\Boolean_StaticFactory.json,mock,mock-model,random
Byte_BadDecodeArg,nl2spec\datasets\baseline_ir\lang\Byte_BadDecodeArg.json,nl2spec\output\llm\mock\mock-model\random\few_k3\lang\event\Byte_BadDecodeArg.json,mock,mock-model,random
Byte_BadParsingArgs,nl2spec\datasets\baseline_ir\lang\Byte_BadParsingArgs.json,nl2spec\output\llm\mock\mock-model\random\few_k3\util\event\Byte_BadParsingArgs.json,mock,mock-model,random
Byte_StaticFactory,nl2spec\datasets\baseline_ir\lang\Byte_StaticFactory.json,nl2spec\output\llm\mock\mock-model\random\few_k3\net\event\Byte_StaticFactory.json,mock,mock-model,random
Character_StaticFactory,nl2spec\datasets\baseline_ir\lang\Character_StaticFactory.json,nl2spec\output\llm\mock\mock-model\random\few_k3\io\event\Character_StaticFactory.json,mock,mock-model,random
Character_ValidateChar,nl2spec\datasets\baseline_ir\lang\Character_ValidateChar.json,nl2spec\output\llm\mock\mock-model\random\few_k3\io\event\Character_ValidateChar.json,mock,mock-model,random
CharSequence_NotInMap,nl2spec\datasets\baseline_ir\lang\CharSequence_NotInMap.json,nl2spec\output\llm\mock\mock-model\random\few_k3\util\event\CharSequence_NotInMap.json,mock,mock-model,random
CharSequence_NotInSet,nl2spec\datasets\baseline_ir\lang\CharSequence_NotInSet.json,nl2spec\output\llm\mock\mock-model\random\few_k3\net\event\CharSequence_NotInSet.json,mock,mock-model,random
CharSequence_UndefinedHashCode,nl2spec\datasets\baseline_ir\lang\CharSequence_UndefinedHashCode.json,nl2spec\output\llm\mock\mock-model\random\few_k3\net\event\CharSequence_UndefinedHashCode.json,mock,mock-model,random
ClassLoader_UnsafeClassDefinition,nl2spec\datasets\baseline_ir\lang\ClassLoader_UnsafeClassDefinition.json,nl2spec\output\llm\mock\mock-model\random\few_k3\io\event\ClassLoader_UnsafeClassDefinition.json,mock,mock-model,random
Comparable_CompareToNull,nl2spec\datasets\baseline_ir\lang\Comparable_CompareToNull.json,nl2spec\output\llm\mock\mock-model\random\few_k3\lang\event\Comparable_CompareToNull.json,mock,mock-model,random
Comparable_CompareToNullException,nl2spec\datasets\baseline_ir\lang\Comparable_CompareToNullException.json,nl2spec\output\llm\mock\mock-model\random\few_k3\io\event\Comparable_CompareToNullException.json,mock,mock-model,random
Double_StaticFactory,nl2spec\datasets\baseline_ir\lang\Double_StaticFactory.json,nl2spec\output\llm\mock\mock-model\random\few_k3\net\event\Double_StaticFactory.json,mock,mock-model,random
Enum_NoExtraWhiteSpace,nl2spec\datasets\baseline_ir\lang\Enum_NoExtraWhiteSpace.json,nl2spec\output\llm\mock\mock-model\random\few_k3\util\event\Enum_NoExtraWhiteSpace.json,mock,mock-model,random
Enum_NoOrdinal,nl2spec\datasets\baseline_ir\lang\Enum_NoOrdinal.json,nl2spec\output\llm\mock\mock-model\random\few_k3\net\event\Enum_NoOrdinal.json,mock,mock-model,random
Enum_UserFriendlyName,nl2spec\datasets\baseline_ir\lang\Enum_UserFriendlyName.json,nl2spec\output\llm\mock\mock-model\random\few_k3\util\event\Enum_UserFriendlyName.json,mock,mock-model,random
Float_StaticFactory,nl2spec\datasets\baseline_ir\lang\Float_StaticFactory.json,nl2spec\output\llm\mock\mock-model\random\few_k3\lang\event\Float_StaticFactory.json,mock,mock-model,random
Integer_BadDecodeArg,nl2spec\datasets\baseline_ir\lang\Integer_BadDecodeArg.json,nl2spec\output\llm\mock\mock-model\random\few_k3\io\event\Integer_BadDecodeArg.json,mock,mock-model,random
Integer_StaticFactory,nl2spec\datasets\baseline_ir\lang\Integer_StaticFactory.json,nl2spec\output\llm\mock\mock-model\random\few_k3\lang\event\Integer_StaticFactory.json,mock,mock-model,random
Long_BadDecodeArg,nl2spec\datasets\baseline_ir\lang\Long_BadDecodeArg.json,nl2spec\output\llm\mock\mock-model\random\few_k3\io\event\Long_BadDecodeArg.json,mock,mock-model,random
Long_BadParsingArgs,nl2spec\datasets\baseline_ir\lang\Long_BadParsingArgs.json,nl2spec\output\llm\mock\mock-model\random\few_k3\util\event\Long_BadParsingArgs.json,mock,mock-model,random
Long_StaticFactory,nl2spec\datasets\baseline_ir\lang\Long_StaticFactory.json,nl2spec\output\llm\mock\mock-model\random\few_k3\lang\event\Long_StaticFactory.json,mock,mock-model,random
Math_ContendedRandom,nl2spec\datasets\baseline_ir\lang\Math_ContendedRandom.json,nl2spec\output\llm\mock\mock-model\random\few_k3\util\ere\Math_ContendedRandom.json,mock,mock-model,random
Object_MonitorOwner,nl2spec\datasets\baseline_ir\lang\Object_MonitorOwner.json,nl2spec\output\llm\mock\mock-model\random\few_k3\util\event\Object_MonitorOwner.json,mock,mock-model,random
Object_NoClone,nl2spec\datasets\baseline_ir\lang\Object_NoClone.json,nl2spec\output\llm\mock\mock-model\random\few_k3\io\event\Object_NoClone.json,mock,mock-model,random
ProcessBuilder_NullKeyOrValue,nl2spec\datasets\baseline_ir\lang\ProcessBuilder_NullKeyOrValue.json,nl2spec\output\llm\mock\mock-model\random\few_k3\net\ere\ProcessBuilder_NullKeyOrValue.json,mock,mock-model,random
ProcessBuilder_ThreadSafe,nl2spec\datasets\baseline_ir\lang\ProcessBuilder_ThreadSafe.json,nl2spec\output\llm\mock\mock-model\random\few_k3\io\ere\ProcessBuilder_ThreadSafe.json,mock,mock-model,random
Runnable_OverrideRun,nl2spec\datasets\baseline_ir\lang\Runnable_OverrideRun.json,nl2spec\output\llm\mock\mock-model\random\few_k3\io\event\Runnable_OverrideRun.json,mock,mock-model,random
RuntimePermission_NullAction,nl2spec\datasets\baseline_ir\lang\RuntimePermission_NullAction.json,nl2spec\output\llm\mock\mock-model\random\few_k3\util\event\RuntimePermission_NullAction.json,mock,mock-model,random
RuntimePermission_PermName,nl2spec\datasets\baseline_ir\lang\RuntimePermission_PermName.json,nl2spec\output\llm\mock\mock-model\random\few_k3\util\event\RuntimePermission_PermName.json,mock,mock-model,random
SecurityManager_Permission,nl2spec\datasets\baseline_ir\lang\SecurityManager_Permission.json,nl2spec\output\llm\mock\mock-model\random\few_k3\net\ere\SecurityManager_Permission.json,mock,mock-model,random
Short_BadDecodeArg,nl2spec\datasets\baseline_ir\lang\Short_BadDecodeArg.json,nl2spec\output\llm\mock\mock-model\random\few_k3\util\event\Short_BadDecodeArg.json,mock,mock-model,random
Short_BadParsingArgs,nl2spec\datasets\baseline_ir\lang\Short_BadParsingArgs.json,nl2spec\output\llm\mock\mock-model\random\few_k3\lang\event\Short_BadParsingArgs.json,mock,mock-model,random
Short_StaticFactory,nl2spec\datasets\baseline_ir\lang\Short_StaticFactory.json,nl2spec\output\llm\mock\mock-model\random\few_k3\util\event\Short_StaticFactory.json,mock,mock-model,random
ShutdownHook_LateRegister,nl2spec\datasets\baseline_ir\lang\ShutdownHook_LateRegister.json,nl2spec\output\llm\mock\mock-model\random\few_k3\io\ere\ShutdownHook_LateRegister.json,mock,mock-model,random
ShutdownHook_PrematureStart,nl2spec\datasets\baseline_ir\lang\ShutdownHook_PrematureStart.json,nl2spec\output\llm\mock\mock-model\random\few_k3\io\fsm\ShutdownHook_PrematureStart.json,mock,mock-model,random
ShutdownHook_SystemExit,nl2spec\datasets\baseline_ir\lang\ShutdownHook_SystemExit.json,nl2spec\output\llm\mock\mock-model\random\few_k3\util\fsm\ShutdownHook_SystemExit.json,mock,mock-model,random
ShutdownHook_UnsafeAWTCall,nl2spec\datasets\baseline_ir\lang\ShutdownHook_UnsafeAWTCall.json,nl2spec\output\llm\mock\mock-model\random\few_k3\io\fsm\ShutdownHook_UnsafeAWTCall.json,mock,mock-model,random
ShutdownHook_UnsafeSwingCall,nl2spec\datasets\baseline_ir\lang\ShutdownHook_UnsafeSwingCall.json,nl2spec\output\llm\mock\mock-model\random\few_k3\net\fsm\ShutdownHook_UnsafeSwingCall.json,mock,mock-model,random
StrictMath_ContendedRandom,nl2spec\datasets\baseline_ir\lang\StrictMath_ContendedRandom.json,nl2spec\output\llm\mock\mock-model\random\few_k3\util\ere\StrictMath_ContendedRandom.json,mock,mock-model,random
StringBuffer_SingleThreadUsage,nl2spec\datasets\baseline_ir\lang\StringBuffer_SingleThreadUsage.json,nl2spec\output\llm\mock\mock-model\random\few_k3\io\ere\StringBuffer_SingleThreadUsage.json,mock,mock-model,random
StringBuilder_ThreadSafe,nl2spec\datasets\baseline_ir\lang\StringBuilder_ThreadSafe.json,nl2spec\output\llm\mock\mock-model\random\few_k3\net\ere\StringBuilder_ThreadSafe.json,mock,mock-model,random
String_UseStringBuilder,nl2spec\datasets\baseline_ir\lang\String_UseStringBuilder.json,nl2spec\output\llm\mock\mock-model\random\few_k3\io\event\String_UseStringBuilder.json,mock,mock-model,random
System_NullArrayCopy,nl2spec\datasets\baseline_ir\lang\System_NullArrayCopy.json,nl2spec\output\llm\mock\mock-model\random\few_k3\io\event\System_NullArrayCopy.json,mock,mock-model,random
System_WrongKeyOrValue,nl2spec\datasets\baseline_ir\lang\System_WrongKeyOrValue.json,nl2spec\output\llm\mock\mock-model\random\few_k3\io\ere\System_WrongKeyOrValue.json,mock,mock-model,random
Thread_SetDaemonBeforeStart,nl2spec\datasets\baseline_ir\lang\Thread_SetDaemonBeforeStart.json,nl2spec\output\llm\mock\mock-model\random\few_k3\io\ere\Thread_SetDaemonBeforeStart.json,mock,mock-model,random
Thread_StartOnce,nl2spec\datasets\baseline_ir\lang\Thread_StartOnce.json,nl2spec\output\llm\mock\mock-model\random\few_k3\lang\ere\Thread_StartOnce.json,mock,mock-model,random
Throwable_InitCauseOnce,nl2spec\datasets\baseline_ir\lang\Throwable_InitCauseOnce.json,nl2spec\output\llm\mock\mock-model\random\few_k3\io\ere\Throwable_InitCauseOnce.json,mock,mock-model,random
Authenticator_OverrideGetPasswordAuthentication,nl2spec\datasets\baseline_ir\net\Authenticator_OverrideGetPasswordAuthentication.json,nl2spec\output\llm\mock\mock-model\random\few_k3\util\event\Authenticator_OverrideGetPasswordAuthentication.json,mock,mock-model,random
ContentHandler_GetContent,nl2spec\datasets\baseline_ir\net\ContentHandler_GetContent.json,nl2spec\output\llm\mock\mock-model\random\few_k3\util\event\ContentHandler_GetContent.json,mock,mock-model,random
DatagramPacket_Length,nl2spec\datasets\baseline_ir\net\DatagramPacket_Length.json,nl2spec\output\llm\mock\mock-model\random\few_k3\net\event\DatagramPacket_Length.json,mock,mock-model,random
DatagramPacket_SetLength,nl2spec\datasets\baseline_ir\net\DatagramPacket_SetLength.json,nl2spec\output\llm\mock\mock-model\random\few_k3\util\event\DatagramPacket_SetLength.json,mock,mock-model,random
DatagramSocket_Port,nl2spec\datasets\baseline_ir\net\DatagramSocket_Port.json,nl2spec\output\llm\mock\mock-model\random\few_k3\io\event\DatagramSocket_Port.json,mock,mock-model,random
DatagramSocket_SoTimeout,nl2spec\datasets\baseline_ir\net\DatagramSocket_SoTimeout.json,nl2spec\output\llm\mock\mock-model\random\few_k3\lang\event\DatagramSocket_SoTimeout.json,mock,mock-model,random
DatagramSocket_TrafficClass,nl2spec\datasets\baseline_ir\net\DatagramSocket_TrafficClass.json,nl2spec\output\llm\mock\mock-model\random\few_k3\io\event\DatagramSocket_TrafficClass.json,mock,mock-model,random
HttpCookie_Domain,nl2spec\datasets\baseline_ir\net\HttpCookie_Domain.json,nl2spec\output\llm\mock\mock-model\random\few_k3\net\event\HttpCookie_Domain.json,mock,mock-model,random
HttpCookie_Name,nl2spec\datasets\baseline_ir\net\HttpCookie_Name.json,nl2spec\output\llm\mock\mock-model\random\few_k3\net\event\HttpCookie_Name.json,mock,mock-model,random
HttpURLConnection_SetBeforeConnect,nl2spec\datasets\baseline_ir\net\HttpURLConnection_SetBeforeConnect.json,nl2spec\output\llm\mock\mock-model\random\few_k3\lang\ere\HttpURLConnection_SetBeforeConnect.json,mock,mock-model,random
IDN_ToAscii,nl2spec\datasets\baseline_ir\net\IDN_ToAscii.json,nl2spec\output\llm\mock\mock-model\random\few_k3\util\event\IDN_ToAscii.json,mock,mock-model,random
InetAddress_IsReachable,nl2spec\datasets\baseline_ir\net\InetAddress_IsReachable.json,nl2spec\output\llm\mock\mock-model\random\few_k3\net\event\InetAddress_IsReachable.json,mock,mock-model,random
InetSocketAddress_Port,nl2spec\datasets\baseline_ir\net\InetSocketAddress_Port.json,nl2spec\output\llm\mock\mock-model\random\few_k3\util\event\InetSocketAddress_Port.json,mock,mock-model,random
MulticastSocket_TTL,nl2spec\datasets\baseline_ir\net\MulticastSocket_TTL.json,nl2spec\output\llm\mock\mock-model\random\few_k3\util\event\MulticastSocket_TTL.json,mock,mock-model,random
NetPermission_Actions,nl2spec\datasets\baseline_ir\net\NetPermission_Actions.json,nl2spec\output\llm\mock\mock-model\random\few_k3\net\event\NetPermission_Actions.json,mock,mock-model,random
NetPermission_Name,nl2spec\datasets\baseline_ir\net\NetPermission_Name.json,nl2spec\output\llm\mock\mock-model\random\few_k3\lang\event\NetPermission_Name.json,mock,mock-model,random
PasswordAuthentication_FillZeroPassword,nl2spec\datasets\baseline_ir\net\PasswordAuthentication_FillZeroPassword.json,nl2spec\output\llm\mock\mock-model\random\few_k3\net\ltl\PasswordAuthentication_FillZeroPassword.json,mock,mock-model,random
ServerSocket_Backlog,nl2spec\datasets\baseline_ir\net\ServerSocket_Backlog.json,nl2spec\output\llm\mock\mock-model\random\few_k3\io\event\ServerSocket_Backlog.json,mock,mock-model,random
ServerSocket_LargeReceiveBuffer,nl2spec\datasets\baseline_ir\net\ServerSocket_LargeReceiveBuffer.json,nl2spec\output\llm\mock\mock-model\random\few_k3\io\ere\ServerSocket_LargeReceiveBuffer.json,mock,mock-model,random
ServerSocket_PerformancePreferences,nl2spec\datasets\baseline_ir\net\ServerSocket_PerformancePreferences.json,nl2spec\output\llm\mock\mock-model\random\few_k3\util\ere\ServerSocket_PerformancePreferences.json,mock,mock-model,random
ServerSocket_Port,nl2spec\datasets\baseline_ir\net\ServerSocket_Port.json,nl2spec\output\llm\mock\mock-model\random\few_k3\util\event\ServerSocket_Port.json,mock,mock-model,random
ServerSocket_ReuseAddress,nl2spec\datasets\baseline_ir\net\ServerSocket_ReuseAddress.json,nl2spec\output\llm\mock\mock-model\random\few_k3\util\ere\ServerSocket_ReuseAddress.json,mock,mock-model,random
ServerSocket_SetTimeoutBeforeBlocking,nl2spec\datasets\baseline_ir\net\ServerSocket_SetTimeoutBeforeBlocking.json,nl2spec\output\llm\mock\mock-model\random\few_k3\net\ere\ServerSocket_SetTimeoutBeforeBlocking.json,mock,mock-model,random
ServerSocket_Timeout,nl2spec\datasets\baseline_ir\net\ServerSocket_Timeout.json,nl2spec\output\llm\mock\mock-model\random\few_k3\io\event\ServerSocket_Timeout.json,mock,mock-model,random
SocketImpl_CloseOutput,nl2spec\datasets\baseline_ir\net\SocketImpl_CloseOutput.json,nl2spec\output\llm\mock\mock-model\random\few_k3\io\ere\SocketImpl_CloseOutput.json,mock,mock-model,random
SocketPermission_Actions,nl2spec\datasets\baseline_ir\net\SocketPermission_Actions.json,nl2spec\output\llm\mock\mock-model\random\few_k3\util\event\SocketPermission_Actions.json,mock,mock-model,random
Socket_CloseInput,nl2spec\datasets\baseline_ir\net\Socket_CloseInput.json,nl2spec\output\llm\mock\mock-model\random\few_k3\util\ere\Socket_CloseInput.json,mock,mock-model,random
Socket_CloseOutput,nl2spec\datasets\baseline_ir\net\Socket_CloseOutput.json,nl2spec\output\llm\mock\mock-model\random\few_k3\net\ere\Socket_CloseOutput.json,mock,mock-model,random
Socket_InputStreamUnavailable,nl2spec\datasets\baseline_ir\net\Socket_InputStreamUnavailable.json,nl2spec\output\llm\mock\mock-model\random\few_k3\lang\ere\Socket_InputStreamUnavailable.json,mock,mock-model,random
Socket_LargeReceiveBuffer,nl2spec\datasets\baseline_ir\net\Socket_LargeReceiveBuffer.json,nl2spec\output\llm\mock\mock-model\random\few_k3\io\ere\Socket_LargeReceiveBuffer.json,mock,mock-model,random
Socket_OutputStreamUnavailable,nl2spec\datasets\baseline_ir\net\Socket_OutputStreamUnavailable.json,nl2spec\output\llm\mock\mock-model\random\few_k3\net\ere\Socket_OutputStreamUnavailable.json,mock,mock-model,random
Socket_PerformancePreferences,nl2spec\datasets\baseline_ir\net\Socket_PerformancePreferences.json,nl2spec\output\llm\mock\mock-model\random\few_k3\util\ere\Socket_PerformancePreferences.json,mock,mock-model,random
Socket_ReuseAddress,nl2spec\datasets\baseline_ir\net\Socket_ReuseAddress.json,nl2spec\output\llm\mock\mock-model\random\few_k3\lang\ere\Socket_ReuseAddress.json,mock,mock-model,random
Socket_ReuseSocket,nl2spec\datasets\baseline_ir\net\Socket_ReuseSocket.json,nl2spec\output\llm\mock\mock-model\random\few_k3\io\ere\Socket_ReuseSocket.json,mock,mock-model,random
Socket_SetTimeoutBeforeBlockingInput,nl2spec\datasets\baseline_ir\net\Socket_SetTimeoutBeforeBlockingInput.json,nl2spec\output\llm\mock\mock-model\random\few_k3\util\fsm\Socket_SetTimeoutBeforeBlockingInput.json,mock,mock-model,random
Socket_SetTimeoutBeforeBlockingOutput,nl2spec\datasets\baseline_ir\net\Socket_SetTimeoutBeforeBlockingOutput.json,nl2spec\output\llm\mock\mock-model\random\few_k3\io\fsm\Socket_SetTimeoutBeforeBlockingOutput.json,mock,mock-model,random
Socket_Timeout,nl2spec\datasets\baseline_ir\net\Socket_Timeout.json,nl2spec\output\llm\mock\mock-model\random\few_k3\lang\event\Socket_Timeout.json,mock,mock-model,random
Socket_TrafficClass,nl2spec\datasets\baseline_ir\net\Socket_TrafficClass.json,nl2spec\output\llm\mock\mock-model\random\few_k3\io\event\Socket_TrafficClass.json,mock,mock-model,random
URLConnection_Connect,nl2spec\datasets\baseline_ir\net\URLConnection_Connect.json,nl2spec\output\llm\mock\mock-model\random\few_k3\lang\ere\URLConnection_Connect.json,mock,mock-model,random
URLConnection_OverrideGetPermission,nl2spec\datasets\baseline_ir\net\URLConnection_OverrideGetPermission.json,nl2spec\output\llm\mock\mock-model\random\few_k3\net\event\URLConnection_OverrideGetPermission.json,mock,mock-model,random
URLConnection_SetBeforeConnect,nl2spec\datasets\baseline_ir\net\URLConnection_SetBeforeConnect.json,nl2spec\output\llm\mock\mock-model\random\few_k3\net\ere\URLConnection_SetBeforeConnect.json,mock,mock-model,random
URLDecoder_DecodeUTF8,nl2spec\datasets\baseline_ir\net\URLDecoder_DecodeUTF8.json,nl2spec\output\llm\mock\mock-model\random\few_k3\util\event\URLDecoder_DecodeUTF8.json,mock,mock-model,random
URLEncoder_EncodeUTF8,nl2spec\datasets\baseline_ir\net\URLEncoder_EncodeUTF8.json,nl2spec\output\llm\mock\mock-model\random\few_k3\lang\event\URLEncoder_EncodeUTF8.json,mock,mock-model,random
URL_SetURLStreamHandlerFactory,nl2spec\datasets\baseline_ir\net\URL_SetURLStreamHandlerFactory.json,nl2spec\output\llm\mock\mock-model\random\few_k3\lang\ere\URL_SetURLStreamHandlerFactory.json,mock,mock-model,random
ArrayDeque_NonNull,nl2spec\datasets\baseline_ir\util\ArrayDeque_NonNull.json,nl2spec\output\llm\mock\mock-model\random\few_k3\lang\event\ArrayDeque_NonNull.json,mock,mock-model,random
ArrayDeque_UnsafeIterator,nl2spec\datasets\baseline_ir\util\ArrayDeque_UnsafeIterator.json,nl2spec\output\llm\mock\mock-model\random\few_k3\lang\ere\ArrayDeque_UnsafeIterator.json,mock,mock-model,random
Arrays_Comparable,nl2spec\datasets\baseline_ir\util\Arrays_Comparable.json,nl2spec\output\llm\mock\mock-model\random\few_k3\net\event\Arrays_Comparable.json,mock,mock-model,random
Arrays_DeepHashCode,nl2spec\datasets\baseline_ir\util\Arrays_DeepHashCode.json,nl2spec\output\llm\mock\mock-model\random\few_k3\lang\event\Arrays_DeepHashCode.json,mock,mock-model,random
Arrays_MutuallyComparable,nl2spec\datasets\baseline_ir\util\Arrays_MutuallyComparable.json,nl2spec\output\llm\mock\mock-model\random\few_k3\net\event\Arrays_MutuallyComparable.json,mock,mock-model,random
Arrays_SortBeforeBinarySearch,nl2spec\datasets\baseline_ir\util\Arrays_SortBeforeBinarySearch.json,nl2spec\output\llm\mock\mock-model\random\few_k3\net\fsm\Arrays_SortBeforeBinarySearch.json,mock,mock-model,random
Collections_Comparable,nl2spec\datasets\baseline_ir\util\Collections_Comparable.json,nl2spec\output\llm\mock\mock-model\random\few_k3\lang\event\Collections_Comparable.json,mock,mock-model,random
Collections_CopySize,nl2spec\datasets\baseline_ir\util\Collections_CopySize.json,nl2spec\output\llm\mock\mock-model\random\few_k3\lang\event\Collections_CopySize.json,mock,mock-model,random
